dataset,combination,gamma,run,accuracy,tree_depth,training_time
iris,tsallis_polarization,0.1,0,0.8666666666666667,5,0.10418939590454102
iris,tsallis_polarization,0.1,1,0.9111111111111111,5,0.13062214851379395
iris,tsallis_polarization,0.1,2,0.9555555555555556,4,0.1221923828125
iris,tsallis_polarization,0.2,0,0.8666666666666667,5,0.1132657527923584
iris,tsallis_polarization,0.2,1,0.9777777777777777,5,0.12261319160461426
iris,tsallis_polarization,0.2,2,0.9555555555555556,4,0.10484838485717773
iris,tsallis_polarization,0.3,0,0.9111111111111111,5,0.10390663146972656
iris,tsallis_polarization,0.3,1,0.9777777777777777,5,0.1336069107055664
iris,tsallis_polarization,0.3,2,0.9555555555555556,4,0.10821104049682617
iris,tsallis_polarization,0.4,0,0.9111111111111111,5,0.1044309139251709
iris,tsallis_polarization,0.4,1,0.9777777777777777,5,0.138474702835083
iris,tsallis_polarization,0.4,2,0.9555555555555556,5,0.11060214042663574
iris,tsallis_polarization,0.5,0,0.9333333333333333,6,0.09464573860168457
iris,tsallis_polarization,0.5,1,0.9777777777777777,5,0.12034058570861816
iris,tsallis_polarization,0.5,2,0.9555555555555556,5,0.10609054565429688
iris,tsallis_polarization,0.6,0,0.9333333333333333,6,0.0948629379272461
iris,tsallis_polarization,0.6,1,0.9555555555555556,6,0.1227579116821289
iris,tsallis_polarization,0.6,2,0.9555555555555556,4,0.09143185615539551
iris,tsallis_polarization,0.7,0,0.9333333333333333,6,0.09434056282043457
iris,tsallis_polarization,0.7,1,0.9555555555555556,6,0.12706255912780762
iris,tsallis_polarization,0.7,2,0.9555555555555556,4,0.09222221374511719
iris,tsallis_polarization,0.8,0,0.9333333333333333,6,0.09397006034851074
iris,tsallis_polarization,0.8,1,0.9555555555555556,6,0.12284660339355469
iris,tsallis_polarization,0.8,2,0.9555555555555556,4,0.0914149284362793
iris,tsallis_polarization,0.9,0,0.9333333333333333,6,0.09649252891540527
iris,tsallis_polarization,0.9,1,0.9555555555555556,6,0.12314891815185547
iris,tsallis_polarization,0.9,2,0.9555555555555556,4,0.09168696403503418
iris,shannon_polarization,0.1,0,0.8666666666666667,5,0.10393548011779785
iris,shannon_polarization,0.1,1,0.9111111111111111,5,0.11781501770019531
iris,shannon_polarization,0.1,2,0.9555555555555556,4,0.11115026473999023
iris,shannon_polarization,0.2,0,0.8666666666666667,5,0.10351967811584473
iris,shannon_polarization,0.2,1,0.9777777777777777,5,0.12297916412353516
iris,shannon_polarization,0.2,2,0.9555555555555556,4,0.10506653785705566
iris,shannon_polarization,0.3,0,0.9111111111111111,5,0.10634756088256836
iris,shannon_polarization,0.3,1,0.9777777777777777,5,0.12108683586120605
iris,shannon_polarization,0.3,2,0.9555555555555556,4,0.10496807098388672
iris,shannon_polarization,0.4,0,0.9111111111111111,5,0.10417795181274414
iris,shannon_polarization,0.4,1,0.9777777777777777,5,0.12106847763061523
iris,shannon_polarization,0.4,2,0.9555555555555556,5,0.11992359161376953
iris,shannon_polarization,0.5,0,0.9333333333333333,6,0.09417247772216797
iris,shannon_polarization,0.5,1,0.9777777777777777,5,0.11946892738342285
iris,shannon_polarization,0.5,2,0.9555555555555556,5,0.10680150985717773
iris,shannon_polarization,0.6,0,0.9333333333333333,6,0.09619879722595215
iris,shannon_polarization,0.6,1,0.9555555555555556,6,0.12215161323547363
iris,shannon_polarization,0.6,2,0.9555555555555556,4,0.09087586402893066
iris,shannon_polarization,0.7,0,0.9333333333333333,6,0.09363436698913574
iris,shannon_polarization,0.7,1,0.9555555555555556,6,0.12311387062072754
iris,shannon_polarization,0.7,2,0.9555555555555556,4,0.09611344337463379
iris,shannon_polarization,0.8,0,0.9333333333333333,6,0.10732245445251465
iris,shannon_polarization,0.8,1,0.9555555555555556,6,0.12171268463134766
iris,shannon_polarization,0.8,2,0.9555555555555556,4,0.0907449722290039
iris,shannon_polarization,0.9,0,0.9333333333333333,6,0.0951380729675293
iris,shannon_polarization,0.9,1,0.9555555555555556,6,0.12247490882873535
iris,shannon_polarization,0.9,2,0.9555555555555556,4,0.09113001823425293
iris,tsallis_hellinger,0.1,0,0.8666666666666667,5,0.10312247276306152
iris,tsallis_hellinger,0.1,1,0.9111111111111111,5,0.1183936595916748
iris,tsallis_hellinger,0.1,2,0.9555555555555556,4,0.1049647331237793
iris,tsallis_hellinger,0.2,0,0.8666666666666667,5,0.10444021224975586
iris,tsallis_hellinger,0.2,1,0.9777777777777777,5,0.13254761695861816
iris,tsallis_hellinger,0.2,2,0.9555555555555556,4,0.10428023338317871
iris,tsallis_hellinger,0.3,0,0.9111111111111111,5,0.10362887382507324
iris,tsallis_hellinger,0.3,1,0.9777777777777777,5,0.11983847618103027
iris,tsallis_hellinger,0.3,2,0.9555555555555556,4,0.10381412506103516
iris,tsallis_hellinger,0.4,0,0.9111111111111111,5,0.10457515716552734
iris,tsallis_hellinger,0.4,1,0.9777777777777777,5,0.1244807243347168
iris,tsallis_hellinger,0.4,2,0.9555555555555556,5,0.10580730438232422
iris,tsallis_hellinger,0.5,0,0.9333333333333333,6,0.09341907501220703
iris,tsallis_hellinger,0.5,1,0.9777777777777777,5,0.12249565124511719
iris,tsallis_hellinger,0.5,2,0.9555555555555556,5,0.10575485229492188
iris,tsallis_hellinger,0.6,0,0.9333333333333333,6,0.09404683113098145
iris,tsallis_hellinger,0.6,1,0.9555555555555556,6,0.12187886238098145
iris,tsallis_hellinger,0.6,2,0.9555555555555556,4,0.09081006050109863
iris,tsallis_hellinger,0.7,0,0.9333333333333333,6,0.09319567680358887
iris,tsallis_hellinger,0.7,1,0.9555555555555556,6,0.12237191200256348
iris,tsallis_hellinger,0.7,2,0.9555555555555556,4,0.09130072593688965
iris,tsallis_hellinger,0.8,0,0.9333333333333333,6,0.09477591514587402
iris,tsallis_hellinger,0.8,1,0.9555555555555556,6,0.1222841739654541
iris,tsallis_hellinger,0.8,2,0.9555555555555556,4,0.09333205223083496
iris,tsallis_hellinger,0.9,0,0.9333333333333333,6,0.09447360038757324
iris,tsallis_hellinger,0.9,1,0.9555555555555556,6,0.12246227264404297
iris,tsallis_hellinger,0.9,2,0.9555555555555556,4,0.0903921127319336
iris,renyi_polarization,0.1,0,0.8666666666666667,5,0.10346746444702148
iris,renyi_polarization,0.1,1,0.9111111111111111,5,0.11721086502075195
iris,renyi_polarization,0.1,2,0.9555555555555556,4,0.10396361351013184
iris,renyi_polarization,0.2,0,0.8666666666666667,5,0.10304427146911621
iris,renyi_polarization,0.2,1,0.9777777777777777,5,0.12123847007751465
iris,renyi_polarization,0.2,2,0.9555555555555556,4,0.10554122924804688
iris,renyi_polarization,0.3,0,0.9111111111111111,5,0.10316896438598633
iris,renyi_polarization,0.3,1,0.9777777777777777,5,0.11958146095275879
iris,renyi_polarization,0.3,2,0.9555555555555556,4,0.10363531112670898
iris,renyi_polarization,0.4,0,0.9111111111111111,5,0.10304093360900879
iris,renyi_polarization,0.4,1,0.9777777777777777,5,0.11920666694641113
iris,renyi_polarization,0.4,2,0.9555555555555556,5,0.10679459571838379
iris,renyi_polarization,0.5,0,0.9333333333333333,6,0.09399890899658203
iris,renyi_polarization,0.5,1,0.9777777777777777,5,0.11968517303466797
iris,renyi_polarization,0.5,2,0.9555555555555556,5,0.11224651336669922
iris,renyi_polarization,0.6,0,0.9333333333333333,6,0.09407711029052734
iris,renyi_polarization,0.6,1,0.9555555555555556,6,0.12206077575683594
iris,renyi_polarization,0.6,2,0.9555555555555556,4,0.09067702293395996
iris,renyi_polarization,0.7,0,0.9333333333333333,6,0.09415531158447266
iris,renyi_polarization,0.7,1,0.9555555555555556,6,0.12242889404296875
iris,renyi_polarization,0.7,2,0.9555555555555556,4,0.09077668190002441
iris,renyi_polarization,0.8,0,0.9333333333333333,6,0.09420990943908691
iris,renyi_polarization,0.8,1,0.9555555555555556,6,0.1217966079711914
iris,renyi_polarization,0.8,2,0.9555555555555556,4,0.09047532081604004
iris,renyi_polarization,0.9,0,0.9333333333333333,6,0.10313272476196289
iris,renyi_polarization,0.9,1,0.9555555555555556,6,0.12196493148803711
iris,renyi_polarization,0.9,2,0.9555555555555556,4,0.09063148498535156
wine,tsallis_polarization,0.1,0,0.8888888888888888,5,1.4109511375427246
wine,tsallis_polarization,0.1,1,0.8148148148148148,6,1.2378795146942139
wine,tsallis_polarization,0.1,2,0.9074074074074074,5,1.302079677581787
wine,tsallis_polarization,0.2,0,0.8888888888888888,5,1.3222250938415527
wine,tsallis_polarization,0.2,1,0.8703703703703703,5,1.0580809116363525
wine,tsallis_polarization,0.2,2,0.8703703703703703,8,1.5007729530334473
wine,tsallis_polarization,0.3,0,0.8888888888888888,7,1.449425458908081
wine,tsallis_polarization,0.3,1,0.8703703703703703,5,0.9783139228820801
wine,tsallis_polarization,0.3,2,0.8888888888888888,4,1.1606357097625732
wine,tsallis_polarization,0.4,0,0.8888888888888888,7,1.4418935775756836
wine,tsallis_polarization,0.4,1,0.8703703703703703,5,0.9800183773040771
wine,tsallis_polarization,0.4,2,0.9444444444444444,4,0.9695432186126709
wine,tsallis_polarization,0.5,0,0.8888888888888888,8,1.354926347732544
wine,tsallis_polarization,0.5,1,0.8703703703703703,5,0.9809095859527588
wine,tsallis_polarization,0.5,2,0.9444444444444444,6,0.9560580253601074
wine,tsallis_polarization,0.6,0,0.9629629629629629,5,1.0776338577270508
wine,tsallis_polarization,0.6,1,0.8703703703703703,5,0.9578568935394287
wine,tsallis_polarization,0.6,2,0.9444444444444444,6,0.9613161087036133
wine,tsallis_polarization,0.7,0,0.9629629629629629,5,1.099581241607666
wine,tsallis_polarization,0.7,1,0.8703703703703703,5,0.9529037475585938
wine,tsallis_polarization,0.7,2,0.8888888888888888,5,0.7889368534088135
wine,tsallis_polarization,0.8,0,0.9629629629629629,4,0.8305087089538574
wine,tsallis_polarization,0.8,1,0.8703703703703703,5,0.9845690727233887
wine,tsallis_polarization,0.8,2,0.9074074074074074,4,0.7371554374694824
wine,tsallis_polarization,0.9,0,0.9814814814814815,4,0.7766602039337158
wine,tsallis_polarization,0.9,1,0.8888888888888888,4,0.9529390335083008
wine,tsallis_polarization,0.9,2,0.9074074074074074,4,0.749957799911499
wine,shannon_polarization,0.1,0,0.8888888888888888,5,1.2904415130615234
wine,shannon_polarization,0.1,1,0.8148148148148148,6,1.2577869892120361
wine,shannon_polarization,0.1,2,0.9074074074074074,5,1.3133344650268555
wine,shannon_polarization,0.2,0,0.8888888888888888,5,1.2883858680725098
wine,shannon_polarization,0.2,1,0.8703703703703703,5,0.9779419898986816
wine,shannon_polarization,0.2,2,0.8703703703703703,8,1.4753730297088623
wine,shannon_polarization,0.3,0,0.8888888888888888,7,1.422945499420166
wine,shannon_polarization,0.3,1,0.8703703703703703,5,0.9441721439361572
wine,shannon_polarization,0.3,2,0.8888888888888888,4,1.0784518718719482
wine,shannon_polarization,0.4,0,0.8888888888888888,7,1.411151647567749
wine,shannon_polarization,0.4,1,0.8703703703703703,5,0.9465203285217285
wine,shannon_polarization,0.4,2,0.9444444444444444,4,0.9305398464202881
wine,shannon_polarization,0.5,0,0.8888888888888888,8,1.2945091724395752
wine,shannon_polarization,0.5,1,0.8703703703703703,5,0.9530110359191895
wine,shannon_polarization,0.5,2,0.9444444444444444,6,1.0939185619354248
wine,shannon_polarization,0.6,0,0.9629629629629629,5,1.1552362442016602
wine,shannon_polarization,0.6,1,0.8703703703703703,5,0.953301191329956
wine,shannon_polarization,0.6,2,0.9444444444444444,6,0.9410736560821533
wine,shannon_polarization,0.7,0,0.9629629629629629,5,1.0761058330535889
wine,shannon_polarization,0.7,1,0.8703703703703703,5,0.9421846866607666
wine,shannon_polarization,0.7,2,0.8888888888888888,5,0.8124520778656006
wine,shannon_polarization,0.8,0,0.9629629629629629,4,0.8228838443756104
wine,shannon_polarization,0.8,1,0.8703703703703703,5,0.9473676681518555
wine,shannon_polarization,0.8,2,0.9074074074074074,4,0.7531068325042725
wine,shannon_polarization,0.9,0,0.9814814814814815,4,0.8054072856903076
wine,shannon_polarization,0.9,1,0.8888888888888888,4,0.9527132511138916
wine,shannon_polarization,0.9,2,0.9074074074074074,4,0.7427802085876465
wine,tsallis_hellinger,0.1,0,0.8888888888888888,5,1.2935261726379395
wine,tsallis_hellinger,0.1,1,0.8148148148148148,6,1.2419157028198242
wine,tsallis_hellinger,0.1,2,0.9074074074074074,5,1.2826170921325684
wine,tsallis_hellinger,0.2,0,0.8888888888888888,5,1.265580654144287
wine,tsallis_hellinger,0.2,1,0.8703703703703703,5,0.9489357471466064
wine,tsallis_hellinger,0.2,2,0.8703703703703703,8,1.5511648654937744
wine,tsallis_hellinger,0.3,0,0.8888888888888888,7,1.4399504661560059
wine,tsallis_hellinger,0.3,1,0.8703703703703703,5,1.0503661632537842
wine,tsallis_hellinger,0.3,2,0.8888888888888888,4,1.0940139293670654
wine,tsallis_hellinger,0.4,0,0.8888888888888888,7,1.4069385528564453
wine,tsallis_hellinger,0.4,1,0.8703703703703703,5,0.9567062854766846
wine,tsallis_hellinger,0.4,2,0.9444444444444444,4,0.9365670680999756
wine,tsallis_hellinger,0.5,0,0.8888888888888888,8,1.2996318340301514
wine,tsallis_hellinger,0.5,1,0.8703703703703703,5,0.9867508411407471
wine,tsallis_hellinger,0.5,2,0.9444444444444444,6,0.9808917045593262
wine,tsallis_hellinger,0.6,0,0.9629629629629629,5,1.088782787322998
wine,tsallis_hellinger,0.6,1,0.8703703703703703,5,0.9918527603149414
wine,tsallis_hellinger,0.6,2,0.9444444444444444,6,0.9735391139984131
wine,tsallis_hellinger,0.7,0,0.9629629629629629,5,1.1029090881347656
wine,tsallis_hellinger,0.7,1,0.8703703703703703,5,0.9607510566711426
wine,tsallis_hellinger,0.7,2,0.8888888888888888,5,0.8124508857727051
wine,tsallis_hellinger,0.8,0,0.9629629629629629,4,0.7887630462646484
wine,tsallis_hellinger,0.8,1,0.8703703703703703,5,0.9477860927581787
wine,tsallis_hellinger,0.8,2,0.9074074074074074,4,0.7545247077941895
wine,tsallis_hellinger,0.9,0,0.9814814814814815,4,0.7762601375579834
wine,tsallis_hellinger,0.9,1,0.8888888888888888,4,0.9420785903930664
wine,tsallis_hellinger,0.9,2,0.9074074074074074,4,0.7403964996337891
wine,renyi_polarization,0.1,0,0.8888888888888888,5,1.2680318355560303
wine,renyi_polarization,0.1,1,0.8148148148148148,6,1.2556447982788086
wine,renyi_polarization,0.1,2,0.9074074074074074,5,1.3002126216888428
wine,renyi_polarization,0.2,0,0.8888888888888888,5,1.2791149616241455
wine,renyi_polarization,0.2,1,0.8703703703703703,5,0.9676733016967773
wine,renyi_polarization,0.2,2,0.8703703703703703,8,1.4562876224517822
wine,renyi_polarization,0.3,0,0.8888888888888888,7,1.4070472717285156
wine,renyi_polarization,0.3,1,0.8703703703703703,5,0.9929642677307129
wine,renyi_polarization,0.3,2,0.8888888888888888,4,1.0449533462524414
wine,renyi_polarization,0.4,0,0.8888888888888888,7,1.4325809478759766
wine,renyi_polarization,0.4,1,0.8703703703703703,5,0.9675838947296143
wine,renyi_polarization,0.4,2,0.9444444444444444,4,0.9792063236236572
wine,renyi_polarization,0.5,0,0.8888888888888888,8,1.2958290576934814
wine,renyi_polarization,0.5,1,0.8703703703703703,5,0.9774155616760254
wine,renyi_polarization,0.5,2,0.9444444444444444,6,0.9502968788146973
wine,renyi_polarization,0.6,0,0.9629629629629629,5,1.0825526714324951
wine,renyi_polarization,0.6,1,0.8703703703703703,5,0.970374584197998
wine,renyi_polarization,0.6,2,0.9444444444444444,6,0.9467976093292236
wine,renyi_polarization,0.7,0,0.9629629629629629,5,1.115065097808838
wine,renyi_polarization,0.7,1,0.8703703703703703,5,0.96244215965271
wine,renyi_polarization,0.7,2,0.8888888888888888,5,0.8355042934417725
wine,renyi_polarization,0.8,0,0.9629629629629629,4,0.818589448928833
wine,renyi_polarization,0.8,1,0.8703703703703703,5,0.9730279445648193
wine,renyi_polarization,0.8,2,0.9074074074074074,4,0.753385066986084
wine,renyi_polarization,0.9,0,0.9814814814814815,4,0.7807028293609619
wine,renyi_polarization,0.9,1,0.8888888888888888,4,0.934730052947998
wine,renyi_polarization,0.9,2,0.9074074074074074,4,0.7535414695739746
